-1.#QNAN -1.#QNAN -1.#QNAN 1.70081e-040 9.47362e-041 0.00797839 0.00303519
-0.0404292 -0.147868 -0.0176351 0.00976409 0.0144804 -0.0191736 0.00255916
-0.0404172 -0.177088 0.00236488 -0.0139859 0.00446835 -0.0160286 0.00251516
-0.0397692 -0.147016 -0.0179871 -0.00523592 0.0146004 -0.0274986 0.00251916
-0.0187572 -0.157516 0.00204488 -0.00648592 0.00445635 -0.0149786 0.00247516
-0.0458172 -0.156016 -0.00460312 -0.0238359 0.0146004 -0.0107886 0.00243516
-0.0346692 -0.156016 -0.00363512 1.40715e-005 -0.00204365 -0.0220786 0.00573316
-0.0354492 -0.156016 -0.00363512 -0.0423359 0.0109684 -0.0260486 0.000935164
-0.0339372 -0.156808 -0.00363512 0.00651407 0.00020435 -0.0147786 0.00268916
-0.0332892 -0.156736 -0.00328312 -0.0283359 0.0102283 -0.0274986 0.00239516
-0.0363305 -0.167861 -0.0109019 0.00784276 0.0097294 -0.0208448 0.00159463
-0.0354665 -0.167429 -0.0110299 -0.00125724 0.0101574 -0.0166948 0.00156663
-0.0347465 -0.147929 -0.0109979 -0.0168072 0.0036574 -0.0281848 0.00152663
-0.0332345 -0.156929 -0.0113499 0.00754275 0.0065254 -0.0156648 0.00153063
-0.0528785 -0.174929 0.00203413 0.0155427 0.0125374 -0.0283848 0.00478064
-0.0235865 -0.146429 -0.0169979 -0.0238073 0.0030374 -0.0156448 -1.33654e-005
-0.0333665 -0.177221 -0.0103499 -0.00750725 0.0064054 -0.0116948 0.00169663
-0.0311465 -0.147149 -0.0113179 -0.0105573 0.0124174 -0.0146198 0.00140663
-0.0304265 -0.156857 0.00168213 -0.0110573 -0.0037146 -0.0219198 0.00136663
-0.0499985 -0.155429 -0.0173179 -0.0614073 0.0091654 -0.0265348 0.00132663
-0.0416467 -0.166707 0.00562925 0.0192561 0.0129457 -0.0205813 0.0046369
-0.0514267 -0.166275 -0.0144668 -0.0072939 -0.00285433 -0.0247963 -0.000161101
-0.0702187 -0.166275 -0.00746675 -0.00354391 0.0101697 -0.0327363 0.0015489
-0.0408547 -0.166275 0.00488525 -0.00354391 0.0126697 -0.0124763 0.0012589
-0.0514267 -0.166275 -0.0144988 -0.00409391 -0.00296233 -0.0287463 0.0012189
-0.0702187 -0.146775 0.00588525 0.0295561 0.00991767 -0.0239663 0.0011789
-0.0416467 -0.175275 -0.0141468 -0.0348439 0.0125617 -0.0162263 0.0011389
-0.0521467 -0.164775 -0.00714675 0.00645608 -0.00321433 -0.0116513 0.0043929
-0.0506467 -0.145983 0.00520525 -0.0215939 0.00980967 -0.0227013 -0.000357101
-0.0506467 -0.155055 -0.0138268 -0.0133439 0.00567766 -0.0183463 0.0013489
-0.0701461 -0.184185 -0.00507108 -0.0556652 0.00755299 -0.024087 0.00102364
-0.0905101 -0.154461 0.00724893 0.0148848 0.000752985 -0.032292 0.00098364
-0.0423661 -0.165033 -0.0117831 0.00548476 0.010277 -0.028742 0.00094364
-0.0821581 -0.163533 -0.00478308 -0.0151152 0.00677698 -0.021222 0.00090364
-0.0708781 -0.163533 -0.00578308 -0.0231153 0.000644983 -0.024972 0.00415764
-0.0730981 -0.162741 0.00756892 0.0324847 0.010025 -0.016222 -0.00063636
-0.053526 -0.162813 -0.0114631 -0.0238153 -9.50189e-005 -0.019752 0.00107364
-0.0617341 -0.142521 -0.00446307 0.0111847 0.00991698 -0.027272 0.00078364
-0.080598 -0.171093 -0.00546307 -0.0150653 0.00641698 -0.023522 0.00078764
-0.052026 -0.139509 0.00788893 -0.0231153 0.00691698 -0.015802 0.00074364
-0.0791771 -0.180783 -0.0111511 -0.0249326 0.00856851 -0.0414314 0.000481812
-0.0973211 -0.149559 -0.00415113 0.0136174 0.0085325 -0.0168764 0.00373981
-0.0695411 -0.180423 -0.00515113 -0.00263256 0.0085325 -0.0256264 -0.00105419
-0.0604691 -0.149559 -0.00515113 -0.0169326 0.0085325 -0.0243764 0.000655812
-0.0874691 -0.159339 0.00820087 0.00686743 0.0085325 -0.0160314 0.000365812
-0.0777611 -0.157911 -0.0108311 -0.00188257 0.0085325 -0.0279264 0.00361981
-0.0596891 -0.157119 -0.00383113 -0.0174326 0.0085325 -0.0235514 -0.00117419
-0.0881891 -0.156399 -0.00483113 -0.0104326 0.0085325 -0.0156114 0.000535813
-0.0581891 -0.155679 -0.00483113 -0.0284326 0.0020325 -0.0358714 0.000245812
-0.0686891 -0.155751 0.00852087 -0.0387826 0.0049005 -0.0196014 0.000205812
-0.0831141 -0.16621 -0.0105033 0.0088001 0.0125625 -0.0216572 0.00323952
-0.0833301 -0.16585 -0.00350327 0.0091001 0.00302649 -0.0246422 -0.00155048
-0.0832581 -0.145558 -0.00450327 -0.0121999 0.0130265 -0.0154522 0.000159518
-0.0629661 -0.173338 -0.00450327 -0.00344991 0.00289449 -0.0357122 0.00316352
-0.0923301 -0.142618 0.00884873 0.0283501 -0.000225513 -0.0275672 -0.00163048
-0.0614661 -0.17269 -0.0101833 -0.0191999 0.0152865 -0.0206922 7.9518e-005
-0.0720381 -0.141898 -0.00318327 -0.00169992 0.00228649 -0.0411322 -0.000210482
-0.0697461 -0.151678 -0.00418327 -0.0215499 0.0127865 -0.0164972 0.00304352
-0.069818 -0.16975 0.00916873 -0.0480999 0.00265449 -0.0252672 -0.00175048
-0.069026 -0.139666 -0.00986327 0.0145501 0.00616649 -0.00710721 -4.0482e-005
-0.0850561 -0.160626 -0.00287424 -0.00126321 0.0139715 -0.0279539 0.00267929
-0.0852721 -0.157974 -0.00387424 -0.0146132 0.00429147 -0.0225939 -0.00210671
-0.0649081 -0.158046 -0.00387424 0.0265368 0.0144355 -0.0232389 0.00289729
-0.0731881 -0.157254 0.00947776 -0.0228632 0.0110555 -0.0313639 -0.00214671
-0.070968 -0.157326 -0.00955424 0.0109368 -0.00158853 -0.0192689 -0.000436706
-0.07104 -0.156534 -0.00255424 -0.0153132 0.0107915 -0.0236639 0.00256729
-0.070248 -0.155814 -0.00355424 -0.0407132 0.00680347 -0.0144739 -0.00222671
-0.069528 -0.135594 -0.00355424 0.00513676 0.000671467 -0.0261689 -0.000560705
-0.068808 -0.163374 -0.00355424 0.00448676 0.0101835 -0.0134689 0.00244729
-0.048588 -0.131862 -0.00355424 -0.0173632 0.00655147 -0.0257689 -0.00234671
-0.0930741 -0.172218 0.00980454 0.0174081 0.00223185 -0.0265641 -0.000873863
-0.0617061 -0.161358 -0.00922746 0.00885813 0.0116959 -0.0187041 0.00213414
-0.071486 -0.142566 -0.00222746 -0.00619188 0.00819585 -0.0139091 -0.00270386
-0.069266 -0.150846 -0.00322746 -0.0160419 0.00869585 -0.0333241 0.00230414
-0.068546 -0.168918 -0.00322746 -0.0270419 0.00206385 -0.0251991 -0.00273986
-0.067826 -0.139626 -0.00322746 0.0118081 0.0115758 -0.0264491 0.00226414
-0.067106 -0.149406 -0.00322746 -0.0212419 0.00144385 -0.0347941 -0.00282386
-0.046094 -0.167478 -0.00322746 -0.0117419 0.0180878 -0.0145541 -0.00110986
-0.073946 -0.137394 -0.00322746 0.0201081 0.00507585 -0.0143541 0.00189414
-0.042434 -0.147246 -0.00322746 -0.0111919 0.00907585 -0.0164341 -0.00289986
-0.068321 -0.1562 -0.00324701 -0.00882052 0.00377183 -0.0291358 0.00180918
-0.085817 -0.15584 -0.00324701 -0.0196205 0.0132358 -0.0250258 -0.00322682
-0.056525 -0.155048 -0.00324701 -0.0144205 0.00310383 -0.0256708 0.00173318
-0.046013 -0.154328 -0.00324701 0.000679466 0.00661583 -0.0256708 -0.00330682
-0.072365 -0.1544 -0.00324701 -0.00737053 0.00598382 -0.0173258 0.00169718
-0.061145 -0.133316 -0.00324701 0.0107295 -0.000768176 -0.00396578 -0.00339082
-0.061133 -0.16196 -0.00324701 -0.0136205 0.0153878 -0.0269508 0.00161718
-0.060485 -0.150668 -0.00324701 0.0119794 0.00224382 -0.0263458 -0.000132818
-0.039473 -0.151448 -0.00324701 -0.0304206 0.00612382 -0.0238458 -0.00322082
-0.0673249 -0.131228 -0.00324701 -0.0314206 0.0122678 -0.0161258 0.00153718
-0.052585 -0.170083 -0.00323348 0.0147702 0.00445027 -0.00813982 -0.0038217
-0.060997 -0.159223 -0.00323348 -0.00117984 0.00778227 -0.0311848 0.0011903
-0.0791409 -0.140431 -0.00323348 0.00127015 0.0205583 -0.0222148 -0.000603701
-0.0498489 -0.169003 -0.00323348 0.00127015 0.00153427 -0.0234848 -0.0036437
-0.0588369 -0.138211 -0.00323348 0.00127015 0.00853427 -0.0316098 0.0010663
-0.0566889 -0.147991 -0.00323348 -0.0155299 0.000770265 -0.0113898 -0.000679701
-0.0559689 -0.145771 -0.00323348 -0.0253299 0.0102943 -0.0107498 -0.0037677
-0.0544569 -0.165343 -0.00323348 -0.00327987 0.00679426 -0.0295598 0.0009903
-0.0538089 -0.136051 -0.00323348 -0.0125299 0.000530263 -0.0128698 -0.000759701
-0.0530889 -0.145831 -0.00323348 0.0218201 0.00342226 -0.0260348 -0.0038477
-0.0684149 -0.153707 -0.00323431 -0.0166658 0.0111517 -0.0267793 0.000604614
-0.0476189 -0.153419 -0.00323431 0.0167842 0.0081157 -0.00222934 -0.00113739
-0.0753989 -0.152627 -0.00323431 -0.00946581 0.0086157 -0.0295693 -0.000931386
-0.0649709 -0.151907 -0.00323431 -0.0348658 0.0086157 -0.0202143 -0.00422139
-0.0453869 -0.151979 -0.00323431 0.0115342 0.0086157 -0.0295893 0.000488614
-0.0740309 -0.151187 -0.00323431 -0.00596582 0.0152477 -0.0174943 -0.00130139
-0.0424469 -0.130967 -0.00323431 0.0127842 0.0123677 -0.0216693 -0.00104739
-0.0522988 -0.158747 -0.00323431 -0.0109658 -0.000276302 -0.0127193 -0.00438539
-0.0492868 -0.148319 -0.00323431 -0.0190158 0.0057357 -0.0243943 0.000372614
-0.0689308 -0.128735 -0.00323431 -0.0138158 0.0046037 -0.0198193 -0.00142139
-0.0556848 -0.168635 -0.00323952 -0.00642112 0.00621187 -0.025626 -0.00149913
-0.0648888 -0.137411 -0.00323952 0.0101289 0.00618787 -0.017141 -0.00149113
-0.0626688 -0.167483 -0.00323952 0.00257887 0.00605587 -0.012346 -0.00153513
-0.0627408 -0.136691 -0.00323952 0.00382887 0.00593587 -0.031761 -0.00157513
-0.0619488 -0.146471 -0.00323952 0.00382887 0.00594787 -0.023636 -0.00161513
